_id,id,name,title,price,category,image
6a7199fe0ffa866c60162b68,1,Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,Free,Self Help,https://images-na.ssl-images-amazon.com/images/I/91bYsX41DVL.jpg
6a7199fe0ffa866c60162b69,2,The Psychology of Money,"Timeless Lessons on Wealth, Greed, and Happiness",Free,Finance,https://images-na.ssl-images-amazon.com/images/I/71g2ednj0JL.jpg
6a7199fe0ffa866c60162b6a,3,Deep Work,Rules for Focused Success in a Distracted World,Free,Productivity,https://images-na.ssl-images-amazon.com/images/I/71QKQ9mwV7L.jpg
6a7199fe0ffa866c60162b6b,4,Clean Code,A Handbook of Agile Software Craftsmanship,Free,Programming,https://images-na.ssl-images-amazon.com/images/I/41xShlnTZTL.jpg
6a7199fe0ffa866c60162b6c,5,The Alchemist,A Fable About Following Your Dream,Free,Fiction,https://images-na.ssl-images-amazon.com/images/I/71aFt4+OTOL.jpg
6a7199fe0ffa866c60162b6d,6,Rich Dad Poor Dad,What the Rich Teach Their Kids About Money,Free,Finance,https://images-na.ssl-images-amazon.com/images/I/81bsw6fnUiL.jpg
6a7199fe0ffa866c60162b6e,7,Think and Grow Rich,The Classic Guide to Wealth and Success,Free,Self Help,https://images-na.ssl-images-amazon.com/images/I/71UypkUjStL.jpg
6a7199fe0ffa866c60162b6f,8,Ikigai,The Japanese Secret to a Long and Happy Life,Free,Lifestyle,https://images-na.ssl-images-amazon.com/images/I/81l3rZK4lnL.jpg
6a7199fe0ffa866c60162b70,9,The Pragmatic Programmer,Your Journey to Mastery,Free,Programming,https://images-na.ssl-images-amazon.com/images/I/518FqJvR9aL.jpg
6a7199fe0ffa866c60162b71,10,Harry Potter and the Philosopher's Stone,Book 1 of the Harry Potter Series,Free,Fantasy,https://images-na.ssl-images-amazon.com/images/I/81YOuOGFCJL.jpg
6a7199fe0ffa866c60162b72,11,Zero to One,"Notes on Startups, or How to Build the Future",Free,Business,https://images-na.ssl-images-amazon.com/images/I/71m-MxdJ2WL.jpg
6a7199fe0ffa866c60162b73,12,The Lean Startup,How Today's Entrepreneurs Use Continuous Innovation,Free,Business,https://images-na.ssl-images-amazon.com/images/I/81-QB7nDh4L.jpg
